1 L AYÇ_ÇEK YA_I
250g B_Z_M KASE MARG.
500g B_Z_M KASE MARG.
1000g B_Z_M KASE MARG.
B_Z_M KASE
LUNA KASE 250 G
LUNA KASE 500 G
LUNA KASE
250gTEREM KASE MARG.
500 gTEREM KASE MARG.
250 g TEREM BALLI YA_ 
500 g TEREM BALLI YA_ 
TEREM KASE
LUNA TEREYA_I LEZZET_ KASE 250 GR
LUNA TEREYA_I LEZZET_ KASE 500 GR
LUNA TEREYA_I LEZZET_ KASE 
LUNA SIZMA ZEYT. YA_LI KASE 250 GR
LUNA SIZMA ZEYT. YA_LI KASE 
H.SABAH KASE
H.SABAH KASE
250g KALB_M KASE MARGAR_N
500g KALB_M KASE MARGAR_N
250g KALB_M ZEYT_NYA_LI KASE MARGAR_N
250g KALB_M ZEYT_NYA_LI KASE MARGAR_N
KALB_M KASE
250 GR KALB_M BENECOL KASE MARGAR_N
KALB_M BENECOL 
5 KG. B_Z_M BEREKET
10 KG. B_Z_M BEREKET
18 KG. B_Z_M BEREKET
BEREKET
EVET 2 KG
EVET 5 KG
EVET 10 KG
EVET 18 KG
EVET
H.SABAH 10 KG
H.SABAH 18 KG
H SABAH
V.SABAH 2 KG
EXTRA SABAH 5 KG KUTU
EXTRA SABAH 5 KG KASE
EVET
1/5 L SL_M TETRA SÜT
1/5X6 SL_M TETRA SÜT
1/2 LT _Ç_M SÜT
1/1 L KAPAKLI _Ç_M SÜT
1/1X4 SHR_NK KAPAKLI SÜT
_Ç_M SÜT 2 LT. COMB_BLOC TETRA SÜT
TETRAPAK SADE SÜT
1/2X6 SHRINK ___E SÜT
1/1X6 SHRINK ___E SÜT
1/1X6 BASKILI ___E SÜT
1500 ML. _Ç_M ___E SÜT SHIRINK
___E SÜT
1/5 L ALPELLA Ç_K. SÜT
1/5 L MUZLU _Ç_M SÜT
1/5 L Ç_LEKL_ _Ç_M SÜT
1/5 L _Ç_M VAN. BALLI SÜT
1/5 L _Ç_M Ç_KOLATALI SÜT
1/5 L _Ç_M _EFTAL_ AROMALI SÜT
COCO POPS Ç_KOLATALI SÜT 200MLx27
1/5X6 MUZLU SHR_NK SÜT
1/5X6 Ç_LEKL_ SHR_NK SÜT
1/5X6 ALP. Ç_K. SHR_NK SÜT
1/5X6 _Ç_M Ç_K. SHR_NK SÜT
1/5X6 VAN_LYA BALLI SÜT
1/2 ALPELLA SÜT
AROMALI SÜT
1/1 LAKTAZ SÜT
1 LT LAKTOZSUZ YARIM YA_LI SÜT
1/2 L EXTRA LIGHT SÜT
1/1 LT. _Ç_M LIGHT SÜT
1/2 LT. KALB_M BENECOL SÜT
ÖZEL SÜT
_Ç_M Ç_LEKL_ PUD_NG
_Ç_M MUZLU PUD_NG
_Ç_M Ç_KOLATALI PUD_NG 1/2 LT
ALPELLA Ç_K. PUD_NG
ALPELLA TETRA PUD_NG
TETRA PUD_NG 
ALPELLA   Ç_K. KASE PUD.
ALPELLA  Ç_K. Ç_LEKL_. KASE PUD.
ALPELLA Ç_K. KARAMELL_ KASE PUD.
ALPELLA Ç_K. KESTANEL_ KASE PUD.
ALPELLA KASE PUD_NG T.ÜSTÜ STAND 4 ÇE__T
KASE PUD_NG
_Ç_M TOZ PUD.MUZLU 125 GR YEN_ D_ZAYN
_Ç_M TOZ PUD.Ç_LEKL_ 125 GR YEN_ D_ZAYN
_Ç_M T.PUD.KAKAOLU 150 GR YEN_ D_ZAYN
_Ç_M T.PUD.KAK.FIN.150 GR YEN_ D_ZAYN
_Ç_M T.PUD.VAN_LYALI 125 GR YEN_ D_ZAYN
_Ç_M T.PUD.B_TTER 115 GR YEN_ D_ZAYN
_Ç_M T.PUD.Ç_KOLATA.150 GR YEN_ D_ZAYN
_Ç_M TOZ PUD_NG KAKA. 4x150x18 (4AL3ÖDE)
_Ç_M TOZ PUD_NG
P_YALE KAKAOLU PUD.24 * 150 GR. Tic.   
P_YALE MUZ AROMALI PUD.24 * 125 GR. Tic.
P_YALE Ç_LEK AROM.PUD.24 * 125 GR. Tic. 
P_YALE Ç_K.AROM.PUD.24 * 150 GR. Tic.   
P_YALE FINDIK.AROM.PUD.24 * 150 GR. Tic.
P_YALE Ç_K.PARÇALI PUD.24 * 115 GR. Tic.   
P_YALE KAKAOLU PUD.(4 AL 3 ÖDE)
P_YALE Ç_KOLATA AROM.PUD.(4 AL 3 ÖDE)
P_YALE TOZ PUD_NG
_Ç_M SUPANGLE
_Ç_M SAKIZLI MUHALLEB_
_Ç_M KE_KÜL
_Ç_M A_URE
_Ç_M KAZAND_B_
_Ç_M _RM_K TATLISI
_Ç_M SÜTLAÇ
_Ç_M REVAN_
_Ç_M TAVUK GÖ_SÜ
_Ç_M _RM_K HELVASI
_Ç_M Ç_KOLATALI SOS
_Ç_M KAZAND_B_ 60 LI STAND KOL_
_Ç_M TOZ TATLI
P_YALE SUPANGLE 24*160 GR.
P_YALE KAZAND_B_ 24*150 GR.
P_YALE KE_KÜL 24*150 GR.
P_YALE SÜTLAÇ 24*157 GR.
P_YALE A_URE 24*225 GR.
P_YALE _RM_K TATLISI 24*160 GR.
P_YALE SADE MUHALLEB_ 24*195 GR.
P_YALE TAVUK GÖ_SÜ 24*125 GR.
P_YALE SAKIZLI MUHALLEB_ 24*140 GR.
P_YALE REVAN_ 12*500 GR.
P_YALE _RM_K HELVASI 12*400 GR.
P_YALE TOZ TATLI
_Ç_M TOZ KREM _ANT_
_Ç_M Ç_KOLATALI TOZ K._ANT_
_Ç_M TOZ KREM _ANT_ 75 gr
_Ç_M Ç_KOLATALI TOZ K._ANT_ 75 gr
_Ç_M KREM _ANT_
P_YALE KREM _ANT_ SADE 2X75 GR.
P_YALE KREM _ANT_
_Ç_M HAZIR SAHLEP
SIVI SAHLEP
EZOGELIN ÇORBASI
MERC_MEK ÇORBASI
KREMALI TAVUK ÇORBASI
_EHRIYELI TAVUK ÇORBASI
DOMATES ÇORBASI
__KEMBE ÇORBASI
TARHANA ÇORBASI
YAYLA ÇORBASI
KREMALI SEBZE ÇORBASI
KREMALI MANTAR ÇORBASI
B_Z_M MUTFAK ALTI SEBZE ÇORB.79GRx12x12
B_Z_M MUTFAK DOMAT. KES.ÇOR.99GRx12x12
B_Z_M MUTFAK SÜLEYMAN_YE ÇORB.68GRx12x12
B_Z_M MUTFAK ET SU.TER._EH.ÇO.87GRx12x12
BM EZOGEL_N ÇORBA 3+1 MULTIPACK 
BM KR. TAVUK ÇORBA 3+1 MULTIPACK 
BM MANTAR ÇORBA 3+1 MULTIPACK 
ÇORBA BAKKAL KARMA KOL_
B_Z_M MUTFAK KRE.TAV.ÇORB.62GRx72 RAM.Ö.
B_Z_M MUTFAK MERC_M.ÇORB.65GRx72 RAM.ÖZ.
B_Z_M MUTFAK TARHANA ÇORB.65GRx72 RAM.Ö.
B. MUTFAK BAKKAL KARMA KL
BM HAZIR ÇORBA
P_YALE EZOGEL_N 70 GR
P_YALE KREMAL_  MANTAR 65 GR
P_YALE ISKEMBE 65 GR
P_YALE KREMALI DOMATES 65 GR
P_YALE YAYLA 70 GR
P_YALE KREMAL_ TAVUK 65 GR
P_YALE MERC_MEK 70 GR
P_YALE SEHR_YEL_ TAVUK 70 GR
P_YALE TARHANA 70 GR
P_YALE HAZIR ÇORBA
B_Z_M MUTFAK EK__L_ YUVALAMA ÇORBASI 72 L_
B_Z_M MUTFAK KELLE PAÇA ÇORBASI 72 L_
B_Z_M MUTFAK ANADOLU ÇORBASI 72 L_
B_Z_M MUTFAK DOMATESL_ BU_DAY ÇORBASI
B_Z_M MUTFAK ISPANAKLI&BU_DAYLI
B_Z_M MUTFAK YÜKSÜK ÇORBASI
BM SPES_YAL ÇOR.TUTMAÇ 85 GRX12X6
BM SPES_YAL MANTI ÇORBASI 100GRX12X6
BM SPES_YAL ÇOR.KE_KEK 85 GRX12X6
BM ÇORBA BROKOL_ 75GRX12X6
BM SO_UK ÇORBA AYRAN A_I 75GRX12X6
BM SO_UK DEREOTLU KESME ÇORBASI 90GX12X6
BM SPES_YAL TAVUKLU YE_IL MERC.ÇOR. 96GRX6X12
BM SPES_YAL KÖFTELI KÖY ÇOR. 100GX6X12
BM SPES_YAL NEFASET'IN KOFTEL_ SO_UK ÇOR. 103GX6X12
BM ÖZEL ÇORBA
P_YALE GEND_ME YÖRESEL ÇORBA
P_YALE ER__TE YÖRESEL ÇORBA
P_YALE ÖZEL ÇORBA
B_Z_M MUTFAK 2 K___L_K EZOGEL_N ÇORBASI 5x200GRx6
B_Z_M MUTFAK 2K___L_K KREMALI TAVUK ÇORBASI 5x155
2 K___L_K ÇORBA
B_Z_M MUTFAK HIZLI ACILI EZOGEL_N ÇORBASI (YEN_)
B_Z_M MUTFAK HIZLI ACILI DOMATES ÇORBASI (YEN_)
B_Z_M MUTFAK HIZLI YAYLA ÇORBASI (YEN_)
BM KITIRLI DOMATES
BM KITIRLI KREMALI TAVUK
BM KITIRLI KREMALI MANTAR
BM KITIRLI MERC_MEK
BM HIZLI ÇORBA MULTIPACK DOMATES 88GR
BM HIZLI ÇORBA MULTIPACK MERC_MEK 100 GR
BM HIZLI ÇORBA MULTIPACK K.TAVUK 84 GR
BM HIZLI ÇORBA MULTIPACK K.MANTAR 92 GR
BM KITIRLI  ÇORBA
420 g KETÇAP EV T_P_
800 g KETÇAP EV T_P_
B_Z_M MUTFAK KETÇAP 800GRX12 YEN_ DZY
800 g KETÇAP EV T_P_ SOSLUK
420 g ACILI KETÇAP EV T_P_
800 g ACILI KETÇAP EV T_P_
B_Z_M MUTFAK ACILI KETÇAP 800Gx12 YEN_ DZY
800 g ACILI KETÇAP EV T_P_ SOSLUK
420 g KETÇAP+365 g MAYONEZ _K_L_ ÜRÜN
KETÇAP
250 g CAM MAYONEZ EV T_P_
500 GR CAM MAYONEZ EV T_P_
365 g MAYONEZ EV T_P_
670 g MAYONEZ EV T_P_
670 g MAYONEZ SOSLUK
670 g MAYONEZ YEN_ D_ZAYN
MAYONEZ
BM 2 L_ TAVUK BULYON
BM TAVUK BULYON 5+1 L_
BM 9+3 TAVUK BULYON
BM TAVUK BULYON 24'lü
BM TABLET BULYON TAVUK
P_YALE  5+1 TAVUK BULYON
P_YALE 5+1 TAVUK BULYON (_ARJÖR STAND)
P_YALE  9+3 TAVUK BULYON
P_YALE 24'LÜ TAVUK BULYON
P_YALE TABLET BULYON TAVUK
BM 2 L_ ET BULYON
BM ET BULYON 5+1 L_
BM 9+3 ET BULYON
BM ET BULYON 24'lü 
BM 9+3 BULYON KARMA STAND KOL_
BM TABLET BULYON ET
P_YALE  5+1 ET BULYON
P_YALE 5+1 ET BULYON (_ARJÖR STAND)
P_YALE  9+3 ET BULYON
P_YALE 24'LÜ ET BULYON
P_YALE TABLET BULYON ET
BM KÖFTE HARCI B_Z_M MUTFAK ( yeni )
BM ÇITIR TAVUK PANE HARCI ( yeni )
BM _NEGÖL KÖFTE HARCI
BM SUCUK KÖFTE HARCI
BM HARÇ KARMA KOL_
BM HARÇLAR
P_YALE KÖFTE HARCI
P_YALE HARÇLAR
B_Z_M MUTFAK TUR_U YAP
KOLAY TUR_U KARI_IMI
1 KG. B_Z_M MUTFAK UN
2 KG. B_Z_M MUTFAK UN
4 KG. B_Z_M MUTFAK UN
5 KG. B_Z_M MUTFAK UN OTURAN PO_ET
10 KG. B_Z_M MUTFAK UN
BM UN
P_YALE LÜKS UN 12 * 1 KG 
P_YALE LÜKS UN 6 * 2 KG
P_YALE LÜKS UN 3 * 5 KG
P_YALE LÜKS UN 10*2 KG.
P_YALE UN
B_Z_M MUTFAK 7 TAHILLI EKMEK UNU
B_Z_M MUTFAK ÇAVDARLI EKMEK UNU
B_Z_M MUTFAK KÖY EKME__ EKMEK UNU
B_Z_M MUTFAK TAM BU_DAY UNU
BM EKMEKL_K UN
P_YALE KÖY EKME__ UN KARI_IMI
P_YALE 7 TAHILLI UN KARI_IMI
P_YALE ÇAVDAR EKME__ UN KARI_IMI
P_YALE EKMEKL_K UN
B_Z_M MUTFAK  5'L_ _EKERL_ VAN_L_N (Yeni Ambalaj )
B_Z_M MUTFAK  10+2 _EKERL_ VAN_L_N (Yeni Ambalaj )
BM VAN_L_N
P_YALE _EKERL_ VAN_L_N 5 GR.(5'L_)
P_YALE VAN_L_N
B_Z_M MUTFAK  5'L_ KABARTMA TOZU (Yeni Ambalaj )
B_Z_M MUTFAK  10+2 _EKERL_ KABARTMA TOZU (Yeni Ambalaj )
10+2 K. TOZU (81 AD.) +VAN_L_N (36 AD.) STANDLI KOL_
BM KABARTMA TOZU
P_YALE HAMUR KABARTMA TOZU 10 GR.(5'L_)
P_YALE KABARTMA TOZU
B_Z_M MUTFAK KAKAO 25 GR
B_Z_M MUTFAK KAKAO 50 GR
B_Z_M MUTFAK KAKAO 100 GR
BM KAKAO
P_YALE DAMLA Ç_KOLATA 
P_YALE KAKAO 25 GR.
P_YALE KAKAO 50 GR.
P_YALE Ç_KOLATA VE KAKAO
BM 250 g P_R_NÇ UNU
BM 500 g P_R_NÇ UNU
BM P_R_NÇ UNU
P_YALE P_R_NC UNU SADE 250 GR
P_YALE P_R_NC UNU VAN_L_NL_ 250 GR
P_YALE P_R_NC UNU V_TAM_NL_ 250 GR
P_YALE P_R_NÇ UNU
BM BU_DAY N__ASTASI B_Z_M MUTFAK
BM MISIR N__ASTASI B_Z_M MUTFAK
BM N__ASTA
P_YALE BUGDAY N_SASTAS_ 200 GR.T_C
P_YALE M_S_R N_SASTAS_ 200 GR
P_YALE N__ASTA
BM PUDRA _EKER_ B_Z_M MUTFAK
BM PUDRA _EKER_
P_YALE PUDRA _EKER_
P_YALE PUDRA _EKER_
BM PATATES PÜRES_ B_Z_M MUTFAK TEKL_ PO_ET
BM PÜRE 
P_YALE PATATES PÜRES_
P_YALE PEYN_RL_ MAKARNA SOS 
P_YALE KR.MANTAR MAKARNA SOS
P_YALE Ç_KOLATA SOS 24*128 GR.
P_YALE Ç_KOLATA SOS 72*128 GR.
P_YALE PÜRE VE MAKARNA SOSLARI
B_Z_M MUTFAK KREP 165 GR.
BM KREP
SOYA KIYMASI
SOYA KIYMASI STANDLI KOL_
SOYA KIYMASI D_SPLAY KOL_
SOYET SOYA KIYM.350G*8L_ KARTON DISPLAY STAND
SOYET SOYA KIYM.350G*18L_ AYAKLI STAND
SOYA KIYMASI 
B_Z_M MUTFAK MAKARNA ARPA _EHR_YEL_ 500GR*20
B_Z_M MUTFAK MAKARNA TEL _EHR_YE 500GR*20
B_Z_M MUTFAK MAKARNA BURGU 500GR*20
B_Z_M MUTFAK MAKARNA _NCE UZUN 500GR*20
B_Z_M MUTFAK MAKARNA F_YONK 500GR*20
B_Z_M MUTFAK MAKARNA KELEBEK 500GR*20
B_Z_M MUTFAK MAKARNA SPAGETT_ 500GR*20
B_Z_M MUTFAK YÜKSÜK MAKARNA  
B_Z_M MUTFAK BONCUK MAKARNA  
B_Z_M MUTFAK MANTI MAKARNA  
B_Z_M MUTFAK KALEM MAKARNA  
B_Z_M MUTFAK HELEZON MAKARNA  
B_Z_M MUTFAK D_RSEK MAKARNA  
B_Z_M MUTFAK EV ER__TES_ 
B_Z_M MUTFAK KUSKUS MAKARNA  
B_Z_M MUTFAK TEL _EHR_YE 
B_Z_M MUTFAK SPAGETT_ MAKARNA  
B_Z_M MUTFAK ARPA _EHRIYE 
B_Z_M MUTFAK _NCE UZUN MAKARNA  
B_Z_M MUTFAK F_YONK MAKARNA  
B_Z_M MUTFAK BURGU MAKARNA  
BM.MAKARNA BURGU 1 KG      
BM.MAKARNA _NCE UZUN 1 KG
BM.MAKARNA YÜKSÜK  1 KG         
BM.MAKARNA 4X250 GR BURGU
BM MAKARNA
P_YALE ARPA _EHR_YE 500 GR.                              
P_YALE TEL _EHR_YE 500 GR.                               
P_YALE KUSKUS 500 GR.                                    
P_YALE BONCUK 500 GR.                                    
P_YALE EV ER__TE 500 GR.                                 
P_YALE _NCEDÜZ 500 GR.                                   
P_YALE BURGU 500 GR.                                     
P_YALE B.TIRTIL/YÜKSÜK 500 GR.                                  
P_YALE K.TIRTIL/_NCE UZUN  500 GR.                                  
P_YALE MANTI 500 GR.                                     
P_YALE KALEM 500 GR.                                     
P_YALE BUKLE/HELEZON 500 GR.                                     
P_YALE SPAGHETT_ 500 GR.                                 
P_YALE F_YONK 500 GR.                                    
P_YALE KELEBEK 500 GR.                                   
P_YALE KEPEKL_ BURGU
P_YALE ARPA _EHR_YE DÖKME 1*5 KG                         
P_YALE TEL _EHR_YE DÖKME 1*5 KG                          
P_YALE BURGU DÖKME 1*5 KG                                
P_YALE K.TIRTIL/_NCE UZUN DÖKME 1*5 KG                             
P_YALE F_YONK DÖKME 1*5 KG                               
P_YALE SPAGHETT_ DÖKME 1*5 KG                              
P_YALE KUSKUS DÖKME 1 * 5 KG
P_YALE KALEM MAKARNA 1 * 5 KG.
P_YALE ER__TE DÖKME 1 * 5 KG
P_YALE MANTI MAKARNA 1 * 5 KG.
P_YALE BONCUK DÖKME 1 * 5 KG
P_YALE MAKARNA
P_YALE _RM_K 500 GR
P_YALE _RM_K
B_Z_M MUTFAK UZ.TANE BALDO P_R_NÇ 
B_Z_M MUTFAK UZ.TANE BALDO P_R_NÇ 
B_Z_M MUTFAK UZ.TANE OSMAN P_R_NÇ
B_Z_M MUTFAK UZ.TANE OSMAN.P_R_NÇ 
B_Z_M MUTFAK KIRIK P_R_NÇ 
B_Z_M MUTFAK UZ.TANE EL PASO P_R_NÇ
B_Z_M MUTFAK UZ.TANE EL PASO P_R_NÇ
B_Z_M MUTFAK P_LAVLIK BULGUR 
B_Z_M MUTFAK P_LAVLIK BULGUR 
B_Z_M MUTFAK KÖFTEL_K BULGUR 
B_Z_M MUTFAK KIRMIZI MERC_MEK 
B_Z_M MUTFAK KIRMIZI MERC_MEK 
B_Z_M MUTFAK YE__L MERC_MEK 
B_Z_M MUTFAK DERMASON FASULYE 
B_Z_M MUTFAK DERMASON FASULYE 
B_Z_M MUTFAK NOHUT
B_Z_M MUTFAK BARBUNYA 
BM BAKL_YAT
BULGUR P_LAVL_K 1000 GR
BULGUR KÖFTEL_K 1000 GR
P_YALE BAKL_YAT
180 g ALPELLA KREM
100 gALP. KREM KÜVET
40 g ALPELLA KREM TÜP
450 g ALP KREM 
500 g ALP KREM EKONOM_K
325 gALPELLA KREM IML KASE
650 g ALPELLA KREM IML KASE
750 G ALPELLA KREM Ç_KOLATA
300 GR. ALPELLA KREM Ç_KOLATA
ALPELLA KREM
ALPELLA 3GEN GOFRET FINDIKLI
ALPELLA 3GEN GOFRET BEYAZ
ALPELLA 3GEN GOFRET B_TTER
ALPELLA 3GEN GOFRET TEZGAHÜSTÜ STAND
ALPELLA 3GEN GOFRET
ALPELLA 3GEN GOFRET FINDIKLI M.P.
ALPELLA 3GEN GOFRET BEYAZ  M.P.
ALPELLA 3GEN GOFRET B_TTER  M.P.
ALPELLA 3GEN GOFRET ÇOKLU PAKET
ALPELLA ONE
ALPELLA ONE
ALPELL HARBY
ALPELLA ÇOKOM_LK
ALPELLA ÇOKOM_LK 4 LÜ
ALPELLA ÇOKOM_LK KARAMEL
ALPELLA ÇOKOM_LK KARAMEL 4 LÜ
ALPELLA ÇOKOM_LK
ALPELLA R_NG
ALPELLA RULLO SÜTLÜ
ALPELLA RULLO SÜTLÜ
ALPELLA RULLO Ç_K.
ALPELLA RULLO Ç_K.
ALPELLA KAPLAMA
ALPELLA KAP. KK + YELEK HED.
ALPELTANE
ALPELLA M_N_ BATON SÜTLÜ Ç_KOLATA 23GR
ALPELLA BATON SÜTLÜ Ç_KOLATA 35GR
ALPELLA BATON KIRIK FINDIKLI Ç_KOLATA 35GR
ALPELLA BATON ÇIKOLATA ANTEPFISTIKLI 35GR
ALPELLA BATON FINDIK KREMALI Ç_KOLATA 38GR
ALPELLA BATON BOL SÜTLÜ KARAMELLI 38GR
ALPELLA BATON
ALPELLA TABLET SÜTLÜ Ç_KOLATA 72GR
ALPELLA TABLET KIRIK FINDIKLI Ç_KOLATA 72GR
ALPELLA TABLET FINDIK KREMALI Ç_KOLATA 100GR
ALPELLA TABLET BOL SÜTLÜ KARAMELLI 100GR                                                          
40g ALPELLA BALMOND
100g ALPELLA BALMOND
ALPELLA SÜTLÜ TABLET YEN_
ALPELLA FINDIKLI SÜTLÜ TABLET YEN_
ALPELLA ANTEP FISTIKLI TABLET YEN_
80 GR ALPELLA DARK B_TTER TABLET YEN_
100 GR ALPELLA Ç_FTE KARAMELL_ TABLET YEN_
ALPELLA TABLET
ALPELLA RIO SÜTLÜ KARE ÇIKOLATA 55GR
ALPELLA RIO BÜTÜN FINDIKLI KARE Ç_KOLATA 55GR
ALPELLA RIO  BADEML_ KARE Ç_KOLATA 55GR
ALPELLA RIO BÜTÜN ANTEPFISTIKLI KARE Ç_KOLATA 55GR
ALPELLA RIO BÜTÜN FINDIKLI B_TTER KARE Ç_KOLATA 55GR
ALPELLA R_O BADEML_
ALPELLA R_O FINDIKLI
ALPELLA R_O ANTEP FISTIKLI
ALPELLA R_O FINDIKLI ÜZÜMLÜ
ALPELLA R_O B_TTER FINDIKLI
ALPELLA R_O B_TTER ANTEP FISTIKLI
ALPELLA R_O BATON FINDIKLI
ALPELLA R_O BATON KARAMEL FINDIKLI
ALPELLA R_O BATON ANTEP FISTIKLI
ALPELLA R_O
ALPELLA KARE SÜTLÜ Ç_KOLATA 55GR
ALPELLA KARE BOL SÜTLÜ FINDIK KREMALI Ç_KOLATA 60GR
ALPELLA KARE BOL SÜTLÜ KARAMELL_ 60GR
ALPELLA KARE BOL SÜTLÜ H_ND_STAN CEV_ZL_ Ç_K.60GR
ALPELLA KARE BOL SÜTLÜ B_SKÜV_L_ Ç_KOLATA 60GR
ALPELLA KARE
ALPELLA R_VA H.CEV_Z_ DOL. KARE Ç_K
ALPELLA R_VA B_SKÜV_ DOL. KARE Ç_K.
ALPELLA R_VA Ç_K.RÜYASI. KARE Ç_K.
ALPELLA R_VA LATTE KREMASI DOL. KARE Ç_K.
ALPELLA R_VA
ALPELLA R_VA H.CEV_Z_ DOL.Ç_K
ALPELLA R_VA Ç_K.RÜYASI.Ç_K.
ALPELLA R_VA LATTE KREMASI DOL.Ç_K.
ALPELLA R_VA 45GR
ALPELLA F__EK SÜTLÜ Ç_KOLATA 50GR
ALPELLA F__EK KARAMELL_ Ç_KOLATA 50GR
ALPELLA OLE KARAMEL DOLGULU Ç_KOLATA
ALPELLA OLE PORTAKALLI Ç_KOLATA
ALPELLA OLE H.CEV_Z_ DOLGULU Ç_KOLATA
ALPELLA OLE
ALPELLA M_N_ RULO PASTA
ALPELLA M_N_ RULO PASTA MUZLU
ALPELLA Ç_KOLATALI M_N_ RULO PASTA
ALPELLA KREMALI KEK
ALPELLA SADE KEK
D_L_M KEK
ALPELLA V__NE KREMALI KEK 45GRX24
ALPELLA Ç_LEK KREMALI KEK 45GRX24
ALPELLA Ç_KOLATA KREMALI KEK 45GRx24
ALPELLA SÜT KREMALI KEK 45GRX24
YEN_ ALPELLA V__NEL_ MUFF_N KEK 45 GR.X24X4
YEN_ ALPELLA Ç_LEKL_ MUFF_N KEK 45 GR.X24X4
YEN_ ALPELLA Ç_KOLATALI MUFF_N KEK 45 GR.X24X4
YEN_ ALPELLA SÜT KREMALI MUFF_N KEK 45GR.X24X4
ALPELLA V__NE KREMALI KEK 40GRx24
ALPELLA Ç_KOLATA KREMALI KEK 40GRx24
ALPELLA SÜT KREMALI KEK 40GRx24
YEN_ ALPELLA 45 GR MUFF_N KEK
ALPELLA CHUNKY KEK KAKAOFIND.40GRx24x4
ALPELLA CHUNKY KEK HAVUÇ.TARÇIN43GRx24x4
ALPELLA CHUNKY KEK KARMA KOL_
ALPELLA CHUNKY KEK
ALPELLA _K_ RENKL_ PÖT_BÖR
ALPELLA _K_ RENKL_ PÖT_BÖR
ALPELLA _K_ RENKL_ PÖT_BÖR
ALPELLA _K_ RENKL_ PÖT_BÖR
ALPELLA B_SKÜV_
COCO POPS TOPLARI 100GRX36
COCO POPS TOPLARI 250 GR
250 GR COCO POPS ÇITIRLARI PO_ET
250GR COCOPOPS ÇOKOTOP
COCOPOPS TOPLARI 375 GR
COCO POPS TOPLARI 500GR
COCOPOPS ÇOKOTOP 500GRX10
COCOPOPS TOP 500GRX10 COCO KASE HED_YEL_          
COCO POPS TOPLARI 2x500GR 2.%50 BEDAVA
COCO POPS TOPLARI 750 GR*10
HONEY POPS BALLI MISIR GEVRE__ 250GRx10
HONEY POPS BALLI MISIR GEVRE__ 500GRx10
